Adj Close,Close,High,Low,Open,Volume
^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
4550.43017578125,4550.43017578125,4560.52001953125,4546.31982421875,4554.85986328125,3403990000
4554.89013671875,4554.89013671875,4568.14013671875,4540.509765625,4545.5498046875,3586240000
4550.580078125,4550.580078125,4587.64013671875,4547.14990234375,4571.83984375,4418760000
4567.7998046875,4567.7998046875,4569.89013671875,4537.240234375,4554.8701171875,5399300000
4594.6298828125,4594.6298828125,4599.39013671875,4554.7099609375,4559.43017578125,4397120000
4569.77978515625,4569.77978515625,4572.3701171875,4546.72021484375,4564.3701171875,4369910000
4567.18017578125,4567.18017578125,4578.56005859375,4551.68017578125,4557.25,3909950000
4549.33984375,4549.33984375,4590.740234375,4546.5,4586.22998046875,4245680000
4585.58984375,4585.58984375,4590.919921875,4565.22021484375,4568.83984375,3818880000
4604.3701171875,4604.3701171875,4609.22998046875,4574.06005859375,4576.2001953125,3707010000
4622.43994140625,4622.43994140625,4623.7099609375,4593.39013671875,4593.39013671875,3823210000
4643.7001953125,4643.7001953125,4643.93017578125,4608.08984375,4618.2998046875,3808380000
4707.08984375,4707.08984375,4709.68994140625,4643.22998046875,4646.2001953125,5063650000
4719.5498046875,4719.5498046875,4738.56982421875,4694.33984375,4721.0400390625,6314040000
4719.18994140625,4719.18994140625,4725.52978515625,4704.68994140625,4714.22998046875,8218980000
4740.56005859375,4740.56005859375,4749.52001953125,4725.580078125,4725.580078125,4060340000
4768.3701171875,4768.3701171875,4768.68994140625,4743.72021484375,4743.72021484375,4026970000
4698.35009765625,4698.35009765625,4778.009765625,4697.81982421875,4764.72998046875,4201320000
4746.75,4746.75,4748.7099609375,4708.35009765625,4724.2900390625,3431180000
4754.6298828125,4754.6298828125,4772.93994140625,4736.77001953125,4753.919921875,3046770000
4774.75,4774.75,4784.72021484375,4758.4501953125,4758.85986328125,2513910000
4781.580078125,4781.580078125,4785.39013671875,4768.89990234375,4773.4501953125,2748450000
4783.35009765625,4783.35009765625,4793.2998046875,4780.97998046875,4786.43994140625,2698860000
4769.830078125,4769.830078125,4788.43017578125,4751.990234375,4782.8798828125,3126060000
4742.830078125,4742.830078125,4754.330078125,4722.669921875,4745.2001953125,3743050000
4704.81005859375,4704.81005859375,4729.2900390625,4699.7099609375,4725.06982421875,3950760000
4688.68017578125,4688.68017578125,4726.77978515625,4687.52978515625,4697.419921875,3715480000
4697.240234375,4697.240234375,4721.490234375,4682.10986328125,4690.56982421875,3844370000
4763.5400390625,4763.5400390625,4764.5400390625,4699.81982421875,4703.7001953125,3742320000
4756.5,4756.5,4765.47021484375,4730.35009765625,4741.93017578125,3529960000
4783.4501953125,4783.4501953125,4790.7998046875,4756.2001953125,4759.93994140625,3498680000
4780.240234375,4780.240234375,4798.5,4739.580078125,4792.1298828125,3759890000
4783.830078125,4783.830078125,4802.39990234375,4768.97998046875,4791.18017578125,3486340000
4765.97998046875,4765.97998046875,4782.33984375,4747.1201171875,4772.35009765625,4260550000
4739.2099609375,4739.2099609375,4744.22998046875,4714.81982421875,4739.1298828125,3928600000
4780.93994140625,4780.93994140625,4785.7900390625,4740.56982421875,4760.10009765625,4019000000
