2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-03-31
340680000.0,-171171000.0,253052000.0,3356955.595609,-83780000.0,
0.17,0.143,0.164,0.152589,0.071,
33741000000.0,32523000000.0,30279000000.0,26022000000.0,25664000000.0,
2004000000.0,-1197000000.0,1543000000.0,22000000.0,-1180000000.0,
2004000000.0,-1197000000.0,1543000000.0,22000000.0,-1180000000.0,
26301000000.0,23619000000.0,23662000000.0,20687000000.0,19689000000.0,
3985000000.0,3708000000.0,3413000000.0,1563000000.0,3171000000.0,
36474000000.0,35507000000.0,33712000000.0,37575000000.0,33229000000.0,
35745000000.0,31326000000.0,31822000000.0,26044000000.0,24484000000.0,
31760000000.0,27618000000.0,28409000000.0,24481000000.0,21313000000.0,
1189000000.0,1023000000.0,967000000.0,1041000000.0,950000000.0,
54000000.0,67000000.0,94000000.0,69000000.0,116000000.0,
1243000000.0,1090000000.0,1061000000.0,1110000000.0,1066000000.0,
24637680000.0,24644829000.0,22372052000.0,20668356955.595608,20785220000.0,
26301000000.0,23619000000.0,23662000000.0,20687000000.0,19689000000.0,
59747000000.0,57317000000.0,55067000000.0,62613000000.0,55350000000.0,
28521000000.0,27425000000.0,25472000000.0,23697000000.0,21343000000.0,
12419000000.0,12495000000.0,13396000000.0,12602000000.0,12696000000.0,
12290000000.0,12343000000.0,12415000000.0,12488000000.0,12581000000.0,
2.12,1.89,1.89,1.64,1.55,
2.14,1.91,1.91,1.66,1.56,
26301000000.0,23619000000.0,25303000000.0,20687000000.0,19689000000.0,
,,1641000000.0,,,1036000000.0
26301000000.0,23619000000.0,23662000000.0,20687000000.0,19689000000.0,
26301000000.0,23619000000.0,23662000000.0,20687000000.0,19689000000.0,
26301000000.0,23619000000.0,23662000000.0,20687000000.0,19689000000.0,
26301000000.0,23619000000.0,23662000000.0,20687000000.0,19689000000.0,
5405000000.0,3932000000.0,4653000000.0,3725000000.0,1508000000.0,
31706000000.0,27551000000.0,28315000000.0,24412000000.0,21197000000.0,
1996000000.0,-897000000.0,1876000000.0,-326000000.0,-1096000000.0,
99000000.0,268000000.0,359000000.0,-92000000.0,299000000.0,
-107000000.0,32000000.0,-26000000.0,-256000000.0,-215000000.0,
2004000000.0,-1197000000.0,1543000000.0,22000000.0,-1180000000.0,
1189000000.0,1023000000.0,967000000.0,1041000000.0,950000000.0,
54000000.0,67000000.0,94000000.0,69000000.0,116000000.0,
1243000000.0,1090000000.0,1061000000.0,1110000000.0,1066000000.0,
28521000000.0,27425000000.0,25472000000.0,23697000000.0,21343000000.0,
23273000000.0,21810000000.0,21355000000.0,25038000000.0,22121000000.0,
12447000000.0,11860000000.0,11903000000.0,12113000000.0,11258000000.0,
10826000000.0,9950000000.0,9452000000.0,12925000000.0,10863000000.0,
7227000000.0,6792000000.0,6426000000.0,7719000000.0,6884000000.0,
3599000000.0,3158000000.0,3026000000.0,5206000000.0,3979000000.0,
3599000000.0,3158000000.0,3026000000.0,5206000000.0,3979000000.0,
51794000000.0,49235000000.0,46827000000.0,48735000000.0,43464000000.0,
36474000000.0,35507000000.0,33712000000.0,37575000000.0,33229000000.0,
88268000000.0,84742000000.0,80539000000.0,86310000000.0,76693000000.0,
88268000000.0,84742000000.0,80539000000.0,86310000000.0,76693000000.0,
